property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
8805224,9932,https://www.zameen.com/Property/lahore_sham_nagar_house_for_sale-8805224-9932-1.html,House,22500000,Sham Nagar,Lahore,Punjab,31.55469203,74.29841917,5,13 Marla,For Sale,5,7/3/2019,,,Marla,13,10-15 Marla
8805348,1013,https://www.zameen.com/Property/lahore_central_park_housing_scheme_10_marla_brand_new_house_for_sale-8805348-1013-1.html,House,13500000,Central Park Housing Scheme,Lahore,Punjab,31.32243473,74.37464118,7,10 Marla,For Sale,6,7/3/2019,,,Marla,10,5-10 Marla
8805603,3756,https://www.zameen.com/Property/faisal_town_faisal_town_block_b_double_storey_house_is_available_for_sale-8805603-3756-1.html,House,14500000,Faisal Town,Lahore,Punjab,31.479404,74.30397,5,7 Marla,For Sale,4,7/3/2019,,,Marla,7,5-10 Marla
8805855,4146,https://www.zameen.com/Property/pia_housing_scheme_pia_housing_scheme_block_c_house_for_sale-8805855-4146-1.html,House,30000000,PIA Housing Scheme,Lahore,Punjab,31.450229,74.28174,6,1 Kanal,For Sale,6,7/3/2019,,,Kanal,1,1-5 Kanal
8805996,4390,https://www.zameen.com/Property/lahore_river_view_coop_housing_society_one_kanal_brand_new_house_for_sale-8805996-4390-1.html,House,24500000,River View Coop Housing Society,Lahore,Punjab,31.441296,74.24474,4,1 Kanal,For Sale,4,7/3/2019,,,Kanal,1,1-5 Kanal
8806402,93,https://www.zameen.com/Property/lahore_johar_town_9_marla_house_for_sale-8806402-93-1.html,House,18000000,Johar Town,Lahore,Punjab,31.462347,74.293642,5,9 Marla,For Sale,4,7/3/2019,,,Marla,9,5-10 Marla
8807670,4379,https://www.zameen.com/Property/lahore_wahdat_colony_425_triple_storey_house_for_sale-8807670-4379-1.html,House,7500000,Wahdat Colony,Lahore,Punjab,31.515703,74.307303,4,4 Marla,For Sale,8,7/3/2019,,,Marla,4,0-5 Marla
8813044,1784,https://www.zameen.com/Property/bahria_town_bahria_town_sector_c_10_marla_newly_built_house_for_sale_in_jasmin_overseas_a_ali_block_shaheen_block-8813044-1784-1.html,House,18000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,7,10 Marla,For Sale,5,7/3/2019,,,Marla,10,5-10 Marla
8820814,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_house_for_sale_haider_design_with_basement-8820814-9435-1.html,House,29000000,Askari,Lahore,Punjab,31.533161,74.419481,5,10 Marla,For Sale,4,7/3/2019,,,Marla,10,5-10 Marla
8821708,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_10_marla_integrated_design_main_boulevard_house_for_sale-8821708-9432-1.html,House,22500000,Askari,Lahore,Punjab,31.537239,74.420211,5,10 Marla,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,Marla,10,5-10 Marla
8821709,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_10_marla_grid_design_renovated_near_park_house_available_for_sale-8821709-9432-1.html,House,24000000,Askari,Lahore,Punjab,31.537239,74.420211,5,10 Marla,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,Marla,10,5-10 Marla
8821717,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_12_marla_fully_renovated_tariq_design_available_house__for_sale-8821717-9434-1.html,House,30000000,Askari,Lahore,Punjab,31.53327,74.41358,6,12 Marla,For Sale,5,6/18/2019,Forces Properties,Khalid Saeed Khan,Marla,12,10-15 Marla
8821743,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_10_marla_haider_design_house_available_for_sale-8821743-9434-1.html,House,22800000,Askari,Lahore,Punjab,31.53327,74.41358,5,10 Marla,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,Marla,10,5-10 Marla
8821753,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_one_kanal_khalid_design_house_available_for_sale-8821753-9434-1.html,House,39000000,Askari,Lahore,Punjab,31.53327,74.41358,6,1 Kanal,For Sale,5,6/18/2019,Forces Properties,Khalid Saeed Khan,Kanal,1,1-5 Kanal
8832882,8444,https://www.zameen.com/Property/al_raheem_garden_al_raheem_garden_phase_4_3_marla_house_for_sale_at_lahore-8832882-8444-1.html,House,4949000,Al-Raheem Garden,Lahore,Punjab,31.597234,74.474513,0,3 Marla,For Sale,3,7/3/2019,,,Marla,3,0-5 Marla
8832883,1448,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_elegant_dream_palace_bungalow_is_available_for_sale-8832883-1448-1.html,House,49000000,DHA Defence,Lahore,Punjab,31.471571,74.445906,6,1 Kanal,For Sale,5,3/5/2019,Harum Real Estate & Builders,Ahmad sheikh,Kanal,1,1-5 Kanal
8832891,4414,https://www.zameen.com/Property/naz_town_naz_town_block_c_5_marla_house_for_sale-8832891-4414-1.html,House,5800000,Naz Town,Lahore,Punjab,31.401387,74.265372,2,5 Marla,For Sale,2,7/3/2019,,,Marla,5,0-5 Marla
8833471,11213,https://www.zameen.com/Property/lahore_bahar_shah_road_2_5_marla_double_storey_house_for_sale-8833471-11213-1.html,House,3500000,Bahar Shah Road,Lahore,Punjab,31.54532,74.40368,2,2.5 Marla,For Sale,3,7/3/2019,,,Marla,2.5,0-5 Marla
8839660,1212,https://www.zameen.com/Property/lahore_band_road_3_marla_house_is_available_for_sale-8839660-1212-1.html,House,4000000,Band Road,Lahore,Punjab,31.54079499,74.27782685,0,3 Marla,For Sale,0,7/3/2019,,,Marla,3,0-5 Marla
8840437,423,https://www.zameen.com/Property/lahore_wapda_town_10_marla_house_for_sale-8840437-423-1.html,House,21500000,Wapda Town,Lahore,Punjab,31.434522,74.266148,0,10 Marla,For Sale,0,7/3/2019,,,Marla,10,5-10 Marla
8842085,4287,https://www.zameen.com/Property/valencia_housing_society_valencia_block_l1_8_marla_house_for_sale_in_valencia_13_l1_block_best_future_investment-8842085-4287-1.html,House,14000000,Valencia Housing Society,Lahore,Punjab,31.39748581,74.25501466,2,8 Marla,For Sale,3,7/3/2019,,,Marla,8,5-10 Marla
8842153,3809,https://www.zameen.com/Property/gulberg_gulberg_2_1_kanal_house_available_for_sale-8842153-3809-1.html,House,42500000,Gulberg,Lahore,Punjab,31.522361,74.347173,5,2 Kanal,For Sale,4,5/3/2019,Matchless Estate & Builders,MImtiaz Khan,Kanal,2,1-5 Kanal
8842169,3727,https://www.zameen.com/Property/eden_city_eden_city_block_a_20_marla_corner_brand_new_house_available_for_sale-8842169-3727-1.html,House,34000000,Eden,Lahore,Punjab,31.511935,74.433575,6,1 Kanal,For Sale,5,5/3/2019,Matchless Estate & Builders,MImtiaz Khan,Kanal,1,1-5 Kanal
